"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"11","Kravchenko O.V.","Application of cha, n atomic basis to solution of scalar hyperbolic equation","2015","Proceedings of the International Conference Days on Diffraction 2015, DD 2015","Higher Mathematics, Bauman Moscow State Technical University, Russia kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation","Kravchenko, O.V., Higher Mathematics, Bauman Moscow State Technical University, Russia kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation","","","","","Conference Paper","2-s2.0-84961820412","0","","2210; 2211; 3104; 2500; 1600;"
"12","Kravchenko V.F., Kravchenko O.V., Konovalov Y.Y., Churikov D.V.","Generalization of Kravchenko wavelets based on the family of atomic functions cha, n","2015","Proceedings of the International Conference Days on Diffraction 2015, DD 2015","Kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation; Bauman Moscow State Technical University, Russian Federation; Scientific and Technological Center of Unique Instrumentation of RAS, Russian Federation; Moscow Institute of Physics and Technology, Russian Federation","Kravchenko, V.F., Kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation, Bauman Moscow State Technical University, Russian Federation, Scientific and Technological Center of Unique Instrumentation of RAS, Russian Federation; Kravchenko, O.V., Kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation, Bauman Moscow State Technical University, Russian Federation, Scientific and Technological Center of Unique Instrumentation of RAS, Russian Federation; Konovalov, Y.Y., Bauman Moscow State Technical University, Russian Federation; Churikov, D.V., Kotel'Nikov Institute of Radio Engineering and Electronics of RAS, Russian Federation, Scientific and Technological Center of Unique Instrumentation of RAS, Russian Federation, Moscow Institute of Physics and Technology, Russian Federation","","","","","Conference Paper","2-s2.0-84961817175","0","","2210; 2211; 3104; 2500; 1600;"
"13","Ksenofontov B.S., Antonova E.S., Ivanov M.V., Kozodaev A.S., Taranov R.A.","The influence of oil contaminated soil on the quality of surface waste water","2015","Water Practice and Technology","Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation","Ksenofontov, B.S., Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation; Antonova, E.S., Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation; Ivanov, M.V., Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation; Kozodaev, A.S., Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation; Taranov, R.A., Department of Ecology and Environment Protection, Bauman Moscow State Technical University, 2-ia Baumanskaia, 5, Moscow, Russian Federation","","","","1751231X","Article","2-s2.0-84957096799","Q3","0.197","2312;"
"14","Akhiyarov V.V., Borzov A.B., Suchkov V.B., Shakhtarin B.I., Sidorkina Y.A.","Calculation of the backscattered field by the method of the physical diffraction theory in the problem of diffraction from impedance objects","2015","Journal of Communications Technology and Electronics","Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","Akhiyarov, V.V., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Borzov, A.B., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Suchkov, V.B., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Shakhtarin, B.I., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Sidorkina, Y.A., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","","","","10642269","Article","2-s2.0-84950310191","Q3","0.273","2208; 3104; 3108; 2504;"
"15","Komkov M.A., Moiseev V.A., Tarasov V.A., Timofeev M.P.","Minimization of the negative influence on the biosphere in heavy oil extraction and ecologically clean technology for the injection of the steam with supercritical parameters in oil strata on the basis of new ecologically clean tubing pipes with heat-resistant coatings","2015","Izvestiya - Atmospheric and Ocean Physics","Bauman University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation; Compomash-TEK, Tretii proezd Mar’inoi Roshchi 40, Moscow, Russian Federation","Komkov, M.A., Bauman University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation; Moiseev, V.A., Compomash-TEK, Tretii proezd Mar’inoi Roshchi 40, Moscow, Russian Federation; Tarasov, V.A., Bauman University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation; Timofeev, M.P., Bauman University, ul. Vtoraya Baumanskaya 5, Moscow, Russian Federation","","","","14338","Article","2-s2.0-84951284979","Q3","0.354","1902; 1910;"
"16","Alimov A.I., Evsukov S.A., Kolesnikov V.V., Nebogov S.M.","The study of receive a tapered pipe thread tubing by stamping","2015","Neftyanoe Khozyaystvo - Oil Industry","Bauman Moscow State Technical University, Moscow, Russian Federation; Chelpipe-Engineering LLC, Chelyabinsk, Russian Federation","Alimov, A.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Evsukov, S.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Kolesnikov, V.V., Chelpipe-Engineering LLC, Chelyabinsk, Russian Federation; Nebogov, S.M., Chelpipe-Engineering LLC, Chelyabinsk, Russian Federation","","","","282448","Article","2-s2.0-84968816776","Q3","0.241","2102; 2103;"
"17","Anishchenko L., Gennarelli G., Tataraidze A., Gaysina E., Soldovieri F., Ivashov S.","Evaluation of rodents' respiratory activity using a bioradar","2015","IET Radar, Sonar and Navigation","Remote Sensing Laboratory, Bauman Moscow State Technical University, 2nd Baumanskaya 5, Moscow, Russian Federation; Institute for Electromagnetic Sensing of the Environment, National Research Council of Italy, Via Diocleziano 38, Naples, Italy","Anishchenko, L., Remote Sensing Laboratory, Bauman Moscow State Technical University, 2nd Baumanskaya 5, Moscow, Russian Federation; Gennarelli, G., Institute for Electromagnetic Sensing of the Environment, National Research Council of Italy, Via Diocleziano 38, Naples, Italy; Tataraidze, A., Remote Sensing Laboratory, Bauman Moscow State Technical University, 2nd Baumanskaya 5, Moscow, Russian Federation; Gaysina, E., Remote Sensing Laboratory, Bauman Moscow State Technical University, 2nd Baumanskaya 5, Moscow, Russian Federation; Soldovieri, F., Institute for Electromagnetic Sensing of the Environment, National Research Council of Italy, Via Diocleziano 38, Naples, Italy; Ivashov, S., Remote Sensing Laboratory, Bauman Moscow State Technical University, 2nd Baumanskaya 5, Moscow, Russian Federation","","","","17518784","Article","2-s2.0-84949797068","Q2","0.548","2208;"
"18","Grishin Y.A., Bakulin V.N.","New calculation schemes based on the large-particle method for modeling gas-dynamic problems","2015","Doklady Physics","Bauman State Technical University, Moscow, Russian Federation; Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation","Grishin, Y.A., Bauman State Technical University, Moscow, Russian Federation; Bakulin, V.N., Institute of Applied Mechanics, Russian Academy of Sciences, Moscow, Russian Federation","","","","10283358","Article","2-s2.0-84953314949","Q3","0.333","3100; 2211; 2206;"
"19","Tazetdinov R.G., Fetisov G.P., Pomel’nikova A.S., Komshina A.V.","Estimation of the influence of a pulsed magnetic field on metal surface defects","2015","Russian Metallurgy (Metally)","Moscow Aviation Institute (National Research University), Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Tazetdinov, R.G., Moscow Aviation Institute (National Research University), Moscow, Russian Federation; Fetisov, G.P., Moscow Aviation Institute (National Research University), Moscow, Russian Federation; Pomel’nikova, A.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Komshina, A.V., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","360295","Article","2-s2.0-84959545775","Q3","0.203","2506;"
"20","Kiselev N.A., Burtsev S.A., Strongin M.M.","A Procedure for Determining the Heat Transfer Coefficients of Surfaces with Regular Relief","2015","Measurement Techniques","Research Institute of Mechanics, Lomonosov Moscow State University, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Kiselev, N.A., Research Institute of Mechanics, Lomonosov Moscow State University, Moscow, Russian Federation; Burtsev, S.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Strongin, M.M., Research Institute of Mechanics, Lomonosov Moscow State University, Moscow, Russian Federation","","","","5431972","Article","2-s2.0-84956895806","Q4","0.163","2604; 3105;"
