x,y,id
6973,-29408,Shchepetov S.V.
5688,-30061,Khol’nov Y.V.
5768,-29558,Vasil’kov D.G.
-28352,19493,Konovalov Y.Y.
-16806,15828,Zaitsev K.I.
-16583,16999,Chernomyrdin N.V.
-15665,18974,Kudrin K.G.
-16313,18089,Reshetov I.V.
-43152,-50315,Shirokov D.S.
45661,22078,Baranov A.A.
44581,21467,Budyansky A.A.
44571,21944,Chernov N.V.
5560,-43403,Kuzenov V.V.
3677,-42494,Shumaev V.V.
8410,-47282,Borovskii V.G.
8664,-46793,Ryzhikova T.N.
-8384,47179,Chernikov S.A.
-35978,-70516,Sayapin S.N.
-109338,18421,Kozlov O.S.
-110896,18684,Skvortsov L.M.
-4108,20786,Savin A.A.
-5328,20954,Savin A.S.
-12910,15733,Yakovlev E.V.
37574,-28162,Arefyev K.Y.
38634,-28161,Voronetsky A.V.
31057,4405,Tomkovich P.S.
31249,2896,Porter R.R.
67771,-9435,Grekhov L.
66006,-9342,Mahkamov K.
66122,-8613,Kuleshov A.
-23957,4189,Morozov A.N.
-21944,4243,Svetlichnyi S.I.
-18272,5917,Fufurin I.L.
-6577,-14850,Sister V.G.
-7021,-15242,Ivannikova E.M.
-6308,-14142,Kirshankova E.V.
-7469,-12589,Gudkov A.G.
-5592,-134,Mikheev R.S.
-5649,856,Kobernik N.V.
-6335,2113,Kalashnikov I.E.
-7285,2314,Bolotova L.K.
-7115,835,Kobeleva L.I.
29701,-75304,Bazlova T.A.
-9252,-13596,Agasieva S.V.
-8247,-15321,Leushin V.Y.
-7756,-14661,Bobrikhin A.F.
9827,51569,Kalinichenko V.A.
10899,51816,Soe A.N.
10507,52694,Chashechkin Y.D.
-66440,-25462,Ivashkin V.V.
-67037,-26705,Krylov I.V.
-36990,26094,Khasanshin R.H.
-36570,26273,Novikov L.S.
-36837,25663,Gatsenko L.S.
-36150,25723,Volkova Y.B.
-14737,19260,Gavdush A.A.
-48610,40822,Nochovnaya N.A.
14296,-11131,Isaev S.A.
15218,-10680,Leont′ev A.I.
16139,-11274,Shchelchkov A.V.
15292,-10291,Gul′tsova M.E.
65345,-8647,Janhunen T.
65305,-9099,Akimov V.
68839,-27092,Chernyatin A.S.
69306,-28202,Razumovskii I.A.
-68509,-87915,Polyanin A.D.
-69310,-91149,Zhurov A.I.
-67412,-90573,Sorokin V.G.
-68023,-89825,Vyazmin A.V.
-19355,2115,Gladyshev V.O.
-18047,2930,Portnov D.I.
-18051,703,Sadovnikov S.V.
-14737,-1183,Kauts V.L.
-20321,-339,Sharandin E.A.
24078,27770,Feoktistov V.V.
23864,27261,Myakinnik O.O.
10686,-76087,Golubev A.E.
9208,-66649,Pribytkov Y.N.
8914,-66308,Mikhailov B.B.
47270,23017,Grishko D.A.
47269,21266,Mayorova V.I.
6434,-30120,Batanov G.M.
7949,-30846,Borzosekov V.D.
7907,-29339,Kolik L.V.
6822,-31192,Konchekov E.M.
6182,-30861,Malakhov D.V.
6899,-30538,Petelin M.I.
8392,-30405,Petrov A.E.
7461,-29017,Sarksyan K.A.
7497,-31350,Skvortsova N.N.
8059,-29982,Stepakhin V.D.
6456,-29492,Kharchev N.K.
7771,-401,Mitrofanov A.A.
8221,-78,Safin A.R.
7756,149,Udalov N.N.
32440,33191,Stenina M.A.
32774,32905,Krivov L.I.
32479,34209,Spiridonov I.N.
32962,33315,Taranov A.A.
-10188,-15859,Ivanov Y.A.
-11067,-14469,Meshkov S.A.
-9288,-15381,Petrov V.I.
-10336,-15150,Sinyakin V.Y.
-9599,-14920,Schukin S.I.
-74751,3377,Nekhoroshikh G.E.
-31141,-19663,Shimina Y.Y.
-93861,-11847,Komkin A.I.
-93380,-13228,Mironov M.A.
-36621,-24505,Berlin A.A.
25960,27888,Gordeev E.N.
-9287,-14363,Lemondzhava V.N.
21283,-16932,Protasov M.V.
21415,-18076,Romash M.E.
20686,-17448,Kopeitsev V.N.
10337,50392,Nesterov S.V.
9589,50682,So A.N.
7011,-2875,Bashurin V.P.
7124,-2581,Budnikov I.N.
7262,-3371,Klevtsov V.A.
6777,-2648,Ktitorov L.V.
6917,-3439,Lazareva A.S.
7028,-3144,Meshkov E.E.
7372,-2795,Novikova I.A.
6669,-3224,Pletenev F.A.
7414,-3093,Fedorenko Y.V.
6625,-2926,Yanbaev G.M.
-15456,32448,Lavrukhin D.V.
-15897,32890,Yachmenev A.E.
-14828,36228,Bugaev A.S.
-15730,33942,Galiev G.B.
-15179,34053,Klimov E.A.
-14948,32726,Khabibullin R.A.
-15391,33002,Ponomarev D.S.
-15951,31968,Maltsev P.P.
-12709,13377,Kryuchkov N.P.
